name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xr0_bit00_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,0,0,0,157.78,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit02_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,2,0,0,183.885,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit04_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,4,0,0,209.99,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit06_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,6,0,0,236.09,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit08_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,8,0,0,262.195,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit10_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,10,0,0,288.3,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit12_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,12,0,0,314.405,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit14_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,14,0,0,340.505,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit16_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,16,0,0,366.61,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit18_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,18,0,0,392.715,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit20_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,20,0,0,418.82,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit22_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,22,0,0,444.92,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit24_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,24,0,0,471.025,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit26_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,26,0,0,497.13,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit28_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,28,0,0,523.235,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit30_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,30,0,0,549.335,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit01_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,1,1,1,170.835,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit03_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,3,1,1,196.935,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit05_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,5,1,1,223.04,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr0_bit07_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r0,7,1,1,249.145,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
