kind,inst,port,bit,macro_pin
read_dout,Xr0_bit00_precharge_sense,r0,0,r0_data[0]
read_rbl_landing,Xr0_bit00_precharge_sense,r0,0,r0_data[0]
read_enable,Xr0_bit00_precharge_sense,r0,0,r0_en
read_precharge_landing,Xr0_bit00_precharge_sense,r0,0,clk
read_dout,Xr0_bit01_precharge_sense,r0,1,r0_data[1]
read_rbl_landing,Xr0_bit01_precharge_sense,r0,1,r0_data[1]
read_enable,Xr0_bit01_precharge_sense,r0,1,r0_en
read_precharge_landing,Xr0_bit01_precharge_sense,r0,1,clk
read_dout,Xr0_bit02_precharge_sense,r0,2,r0_data[2]
read_rbl_landing,Xr0_bit02_precharge_sense,r0,2,r0_data[2]
read_enable,Xr0_bit02_precharge_sense,r0,2,r0_en
read_precharge_landing,Xr0_bit02_precharge_sense,r0,2,clk
read_dout,Xr0_bit03_precharge_sense,r0,3,r0_data[3]
read_rbl_landing,Xr0_bit03_precharge_sense,r0,3,r0_data[3]
read_enable,Xr0_bit03_precharge_sense,r0,3,r0_en
read_precharge_landing,Xr0_bit03_precharge_sense,r0,3,clk
read_dout,Xr0_bit04_precharge_sense,r0,4,r0_data[4]
read_rbl_landing,Xr0_bit04_precharge_sense,r0,4,r0_data[4]
read_enable,Xr0_bit04_precharge_sense,r0,4,r0_en
read_precharge_landing,Xr0_bit04_precharge_sense,r0,4,clk
read_dout,Xr0_bit05_precharge_sense,r0,5,r0_data[5]
read_rbl_landing,Xr0_bit05_precharge_sense,r0,5,r0_data[5]
read_enable,Xr0_bit05_precharge_sense,r0,5,r0_en
read_precharge_landing,Xr0_bit05_precharge_sense,r0,5,clk
read_dout,Xr0_bit06_precharge_sense,r0,6,r0_data[6]
read_rbl_landing,Xr0_bit06_precharge_sense,r0,6,r0_data[6]
read_enable,Xr0_bit06_precharge_sense,r0,6,r0_en
read_precharge_landing,Xr0_bit06_precharge_sense,r0,6,clk
read_dout,Xr0_bit07_precharge_sense,r0,7,r0_data[7]
read_rbl_landing,Xr0_bit07_precharge_sense,r0,7,r0_data[7]
read_enable,Xr0_bit07_precharge_sense,r0,7,r0_en
read_precharge_landing,Xr0_bit07_precharge_sense,r0,7,clk
read_dout,Xr1_bit00_precharge_sense,r1,0,r1_data[0]
read_rbl_landing,Xr1_bit00_precharge_sense,r1,0,r1_data[0]
read_enable,Xr1_bit00_precharge_sense,r1,0,r1_en
read_precharge_landing,Xr1_bit00_precharge_sense,r1,0,clk
read_dout,Xr1_bit01_precharge_sense,r1,1,r1_data[1]
read_rbl_landing,Xr1_bit01_precharge_sense,r1,1,r1_data[1]
read_enable,Xr1_bit01_precharge_sense,r1,1,r1_en
read_precharge_landing,Xr1_bit01_precharge_sense,r1,1,clk
read_dout,Xr1_bit02_precharge_sense,r1,2,r1_data[2]
read_rbl_landing,Xr1_bit02_precharge_sense,r1,2,r1_data[2]
read_enable,Xr1_bit02_precharge_sense,r1,2,r1_en
read_precharge_landing,Xr1_bit02_precharge_sense,r1,2,clk
read_dout,Xr1_bit03_precharge_sense,r1,3,r1_data[3]
read_rbl_landing,Xr1_bit03_precharge_sense,r1,3,r1_data[3]
read_enable,Xr1_bit03_precharge_sense,r1,3,r1_en
read_precharge_landing,Xr1_bit03_precharge_sense,r1,3,clk
read_dout,Xr1_bit04_precharge_sense,r1,4,r1_data[4]
read_rbl_landing,Xr1_bit04_precharge_sense,r1,4,r1_data[4]
read_enable,Xr1_bit04_precharge_sense,r1,4,r1_en
