index,block,mos,role,x_units,y_units,x_um,y_um
1,write_driver,nmos,dinb_inv_n,240,2304,1.2,11.52
2,write_driver,nmos,wbl_up_nand_n0,844,2304,4.22,11.52
3,write_driver,nmos,wbl_up_nand_n1,1448,2304,7.24,11.52
4,write_driver,nmos,wbl_dn_nand_n0,2052,2304,10.26,11.52
5,write_driver,nmos,wbl_dn_nand_n1,240,3763,1.2,18.815
6,write_driver,nmos,wbl_dn_inv_n,844,3763,4.22,18.815
7,write_driver,nmos,wbl_pull_down,1448,3763,7.24,18.815
8,write_driver,nmos,wbr_up_nand_n0,2052,3763,10.26,18.815
9,write_driver,nmos,wbr_up_nand_n1,240,5222,1.2,26.11
10,write_driver,nmos,wbr_dn_nand_n0,844,5222,4.22,26.11
11,write_driver,nmos,wbr_dn_nand_n1,1448,5222,7.24,26.11
12,write_driver,nmos,wbr_dn_inv_n,2052,5222,10.26,26.11
13,write_driver,nmos,wbr_pull_down,240,6681,1.2,33.405
14,write_driver,pmos,dinb_inv_p,240,8140,1.2,40.7
15,write_driver,pmos,wbl_up_nand_p0,844,8140,4.22,40.7
16,write_driver,pmos,wbl_up_nand_p1,1448,8140,7.24,40.7
17,write_driver,pmos,wbl_dn_nand_p0,2052,8140,10.26,40.7
18,write_driver,pmos,wbl_dn_nand_p1,240,9584,1.2,47.92
19,write_driver,pmos,wbl_dn_inv_p,844,9584,4.22,47.92
20,write_driver,pmos,wbl_pull_up,1448,9584,7.24,47.92
21,write_driver,pmos,wbr_up_nand_p0,2052,9584,10.26,47.92
22,write_driver,pmos,wbr_up_nand_p1,240,11028,1.2,55.14
23,write_driver,pmos,wbr_dn_nand_p0,844,11028,4.22,55.14
24,write_driver,pmos,wbr_dn_nand_p1,1448,11028,7.24,55.14
25,write_driver,pmos,wbr_dn_inv_p,2052,11028,10.26,55.14
26,write_driver,pmos,wbr_pull_up,240,12472,1.2,62.36
