area,check,status,evidence,detail
"Open signoff","Prior staged open signoff","PASS","build/open_signoff/MANIFEST.json","counts={'OPEN': 5, 'PASS': 62, 'WARN': 2}"
"LVS","current transistor control primitive Netgen LVS","PASS","build/control_primitives/MANIFEST.json","checked=7, fails=0, details=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Magic final macro DRC","PASS","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x32/layout/gf180mcu_3v3_12t_2r2w_sram_1024x32.drc.log","manifest_drc=0, parsed_drc=0"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Magic PEX extraction","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x32/pex/gf180mcu_3v3_12t_2r2w_sram_1024x32.magic_pex.log","rc_spice_bytes=2009110, stats={'subckt': 2, 'resistors': 4153, 'capacitors': 0, 'mos': 0, 'instances': 2240}, has_rc=True"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Final abstract pin LVS","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x32/pex/gf180mcu_3v3_12t_2r2w_sram_1024x32.current_pdk.spice","ref_pins=175, extracted_pins=175, missing=[], extra=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Full device-expanded macro LVS","OPEN","build/open_signoff/MANIFEST.json","final top GDS is a hard-macro abstract; full row-select/predecode device expansion remains separate from this top-level GDS"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","KLayout GF180 density deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x32/density/gf180mcu_3v3_12t_2r2w_sram_1024x32.density.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","KLayout GF180 antenna deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x32/antenna/gf180mcu_3v3_12t_2r2w_sram_1024x32.antenna.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x32","Local EM/IR power strap audit","WARN","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x32/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x32.pins.json","proxy pass: M5 VSS=40.0um, VDD=24.0um over 1004.0um; 32 column ties. No solver-grade current map."
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Magic final macro DRC","PASS","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x8/layout/gf180mcu_3v3_12t_2r2w_sram_1024x8.drc.log","manifest_drc=0, parsed_drc=0"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Magic PEX extraction","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x8/pex/gf180mcu_3v3_12t_2r2w_sram_1024x8.magic_pex.log","rc_spice_bytes=516893, stats={'subckt': 2, 'resistors': 1049, 'capacitors': 0, 'mos': 0, 'instances': 704}, has_rc=True"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Final abstract pin LVS","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x8/pex/gf180mcu_3v3_12t_2r2w_sram_1024x8.current_pdk.spice","ref_pins=79, extracted_pins=79, missing=[], extra=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Full device-expanded macro LVS","OPEN","build/open_signoff/MANIFEST.json","final top GDS is a hard-macro abstract; full row-select/predecode device expansion remains separate from this top-level GDS"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","KLayout GF180 density deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x8/density/gf180mcu_3v3_12t_2r2w_sram_1024x8.density.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","KLayout GF180 antenna deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_1024x8/antenna/gf180mcu_3v3_12t_2r2w_sram_1024x8.antenna.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_1024x8","Local EM/IR power strap audit","WARN","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_1024x8/abstract/gf180mcu_3v3_12t_2r2w_sram_1024x8.pins.json","proxy pass: M5 VSS=40.0um, VDD=24.0um over 585.6um; 16 column ties. No solver-grade current map."
"gf180mcu_3v3_12t_2r2w_sram_512x32","Magic final macro DRC","PASS","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x32/layout/gf180mcu_3v3_12t_2r2w_sram_512x32.drc.log","manifest_drc=0, parsed_drc=0"
"gf180mcu_3v3_12t_2r2w_sram_512x32","Magic PEX extraction","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x32/pex/gf180mcu_3v3_12t_2r2w_sram_512x32.magic_pex.log","rc_spice_bytes=1014745, stats={'subckt': 2, 'resistors': 2105, 'capacitors': 0, 'mos': 0, 'instances': 1216}, has_rc=True"
"gf180mcu_3v3_12t_2r2w_sram_512x32","Final abstract pin LVS","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x32/pex/gf180mcu_3v3_12t_2r2w_sram_512x32.current_pdk.spice","ref_pins=171, extracted_pins=171, missing=[], extra=[]"
"gf180mcu_3v3_12t_2r2w_sram_512x32","Full device-expanded macro LVS","OPEN","build/open_signoff/MANIFEST.json","final top GDS is a hard-macro abstract; full row-select/predecode device expansion remains separate from this top-level GDS"
"gf180mcu_3v3_12t_2r2w_sram_512x32","KLayout GF180 density deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x32/density/gf180mcu_3v3_12t_2r2w_sram_512x32.density.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_512x32","KLayout GF180 antenna deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x32/antenna/gf180mcu_3v3_12t_2r2w_sram_512x32.antenna.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_512x32","Local EM/IR power strap audit","WARN","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.pins.json","proxy pass: M5 VSS=40.0um, VDD=24.0um over 1004.0um; 32 column ties. No solver-grade current map."
"gf180mcu_3v3_12t_2r2w_sram_512x8","Magic final macro DRC","PASS","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x8/layout/gf180mcu_3v3_12t_2r2w_sram_512x8.drc.log","manifest_drc=0, parsed_drc=0"
"gf180mcu_3v3_12t_2r2w_sram_512x8","Magic PEX extraction","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x8/pex/gf180mcu_3v3_12t_2r2w_sram_512x8.magic_pex.log","rc_spice_bytes=269499, stats={'subckt': 2, 'resistors': 537, 'capacitors': 0, 'mos': 0, 'instances': 448}, has_rc=True"
"gf180mcu_3v3_12t_2r2w_sram_512x8","Final abstract pin LVS","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x8/pex/gf180mcu_3v3_12t_2r2w_sram_512x8.current_pdk.spice","ref_pins=75, extracted_pins=75, missing=[], extra=[]"
"gf180mcu_3v3_12t_2r2w_sram_512x8","Full device-expanded macro LVS","OPEN","build/open_signoff/MANIFEST.json","final top GDS is a hard-macro abstract; full row-select/predecode device expansion remains separate from this top-level GDS"
"gf180mcu_3v3_12t_2r2w_sram_512x8","KLayout GF180 density deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x8/density/gf180mcu_3v3_12t_2r2w_sram_512x8.density.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_512x8","KLayout GF180 antenna deck","PASS","build/pin_lvs_pex_signoff/gf180mcu_3v3_12t_2r2w_sram_512x8/antenna/gf180mcu_3v3_12t_2r2w_sram_512x8.antenna.lyrdb","returncode=0, violations=0, sample_categories=[]"
"gf180mcu_3v3_12t_2r2w_sram_512x8","Local EM/IR power strap audit","WARN","build/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.pins.json","proxy pass: M5 VSS=40.0um, VDD=24.0um over 585.6um; 16 column ties. No solver-grade current map."
"SNM proxy","12T VDD sweep ngspice","PASS","build","missing=[] bad=[] checked=18"
"SNM proxy","12T disturb/conflict ngspice","PASS","build","missing=[] bad=[] checked=3 corners"
"SNM","Butterfly SNM / extracted final RC SNM","OPEN","build","current local evidence is VDD sweep and disturb/conflict; butterfly SNM on final extracted RC is not implemented yet"
