net,endpoints,track_x_um,has_macro_pin,has_row_select_sink,shapes
eq_a0_n,2,1.55,false,false,15
eq_a1_n,2,2.23,false,false,15
eq_a2_n,2,2.91,false,false,15
eq_a3_n,2,3.59,false,false,15
eq_a4_n,2,4.27,false,false,15
eq_a5_n,2,4.95,false,false,15
eq_a6_n,2,5.63,false,false,15
eq_a7_n,2,6.31,false,false,15
eq_a8_n,2,6.99,false,false,15
eq_a9_n,2,7.67,false,false,15
eq_ab0,2,8.35,false,false,15
eq_ab0_n,2,9.03,false,false,15
eq_ab1,2,9.71,false,false,15
eq_ab1_n,2,10.39,false,false,15
eq_ab2,2,11.07,false,false,15
eq_ab2_n,2,11.75,false,false,15
eq_ab3,2,12.43,false,false,15
eq_ab3_n,2,13.11,false,false,15
eq_ab4,2,13.79,false,false,15
eq_ab4_n,2,14.47,false,false,15
eq_ab5,2,15.15,false,false,15
eq_ab5_n,2,15.83,false,false,15
eq_ab6,2,16.51,false,false,15
eq_ab6_n,2,17.19,false,false,15
eq_ab7,2,17.87,false,false,15
eq_ab7_n,2,18.55,false,false,15
eq_ab8,2,19.23,false,false,15
eq_ab8_n,2,19.91,false,false,15
eq_ab9,2,20.59,false,false,15
eq_ab9_n,2,21.27,false,false,15
eq_b0_n,2,21.95,false,false,15
eq_b1_n,2,22.63,false,false,15
eq_b2_n,2,23.31,false,false,15
eq_b3_n,2,23.99,false,false,15
eq_b4_n,2,24.67,false,false,15
eq_b5_n,2,25.35,false,false,15
eq_b6_n,2,26.03,false,false,15
eq_b7_n,2,26.71,false,false,15
eq_b8_n,2,27.39,false,false,15
eq_b9_n,2,28.07,false,false,15
eq_bit0,2,28.75,false,false,15
eq_bit1,2,29.43,false,false,15
eq_bit2,2,30.11,false,false,15
eq_bit3,2,30.79,false,false,15
eq_bit4,2,31.47,false,false,15
eq_bit5,2,32.15,false,false,15
eq_bit6,2,32.83,false,false,15
eq_bit7,2,33.51,false,false,15
eq_bit8,2,34.19,false,false,15
eq_bit9,2,34.87,false,false,15
eq_nanb0,2,35.55,false,false,15
eq_nanb0_n,2,36.23,false,false,15
eq_nanb1,2,36.91,false,false,15
eq_nanb1_n,2,37.59,false,false,15
eq_nanb2,2,38.27,false,false,15
eq_nanb2_n,2,38.95,false,false,15
eq_nanb3,2,39.63,false,false,15
eq_nanb3_n,2,40.31,false,false,15
eq_nanb4,2,40.99,false,false,15
eq_nanb4_n,2,41.67,false,false,15
eq_nanb5,2,42.35,false,false,15
eq_nanb5_n,2,43.03,false,false,15
eq_nanb6,2,43.71,false,false,15
eq_nanb6_n,2,44.39,false,false,15
eq_nanb7,2,45.07,false,false,15
eq_nanb7_n,2,45.75,false,false,15
eq_nanb8,2,46.43,false,false,15
eq_nanb8_n,2,47.11,false,false,15
eq_nanb9,2,47.79,false,false,15
eq_nanb9_n,2,48.47,false,false,15
eq_or0_n,2,49.15,false,false,15
eq_or1_n,2,49.83,false,false,15
eq_or2_n,2,50.51,false,false,15
eq_or3_n,2,51.19,false,false,15
eq_or4_n,2,51.87,false,false,15
eq_or5_n,2,52.55,false,false,15
eq_or6_n,2,53.23,false,false,15
eq_or7_n,2,53.91,false,false,15
eq_or8_n,2,54.59,false,false,15
eq_or9_n,2,55.27,false,false,15
eq_reduce_s0_0,2,55.95,false,false,15
eq_reduce_s0_0_n,2,56.63,false,false,15
eq_reduce_s0_4,2,57.31,false,false,15
eq_reduce_s0_4_n,2,57.99,false,false,15
eq_reduce_s0_8,2,58.67,false,false,15
eq_reduce_s0_8_n,2,59.35,false,false,15
eq_reduce_s1_0,2,60.03,false,false,15
eq_reduce_s1_0_n,2,60.71,false,false,15
r0_a0_n,3,61.39,false,false,22
r0_a1_n,3,62.07,false,false,22
r0_a2_n,3,62.75,false,false,22
r0_a3_n,3,63.43,false,false,22
r0_a4_n,3,64.11,false,false,22
r0_a5_n,3,64.79,false,false,22
r0_a6_n,9,65.47,false,false,64
r0_a7_n,9,66.15,false,false,64
r0_a8_n,9,66.83,false,false,64
r0_a9_n,9,67.51,false,false,64
r0_addr[0],4,68.19,true,false,31
r0_addr[1],4,68.87,true,false,31
r0_addr[2],4,69.55,true,false,31
r0_addr[3],4,70.23,true,false,31
r0_addr[4],4,70.91,true,false,31
r0_addr[5],4,71.59,true,false,31
r0_addr[6],10,72.27,true,false,73
r0_addr[7],10,72.95,true,false,73
r0_addr[8],10,73.63,true,false,73
r0_addr[9],10,74.31,true,false,73
r0_en,257,98.56,true,true,1802
r0_grp0_n,2,74.99,false,false,15
r0_grp1_n,2,75.67,false,false,15
r0_grp2_n,2,76.35,false,false,15
