name,original_name,role,cell,port,row_index,x_um,y_um,width_um,height_um,orient
Xw0_row0000_sel_nand4,Xw0_row0000_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,0,16.56,40.205,7.84,3.92,N
Xw0_row0000_sel_buf0,Xw0_row0000_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,0,24.4,40.205,2.24,3.92,N
Xw0_row0000_sel_buf1,Xw0_row0000_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,0,26.64,40.205,2.24,3.92,N
Xw0_row0000_sel_buf2,Xw0_row0000_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,0,28.88,40.205,2.24,3.92,N
Xw0_row0001_sel_nand4,Xw0_row0001_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,1,16.56,44.53,7.84,3.92,N
Xw0_row0001_sel_buf0,Xw0_row0001_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,1,24.4,44.53,2.24,3.92,N
Xw0_row0001_sel_buf1,Xw0_row0001_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,1,26.64,44.53,2.24,3.92,N
Xw0_row0001_sel_buf2,Xw0_row0001_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,1,28.88,44.53,2.24,3.92,N
Xw0_row0002_sel_nand4,Xw0_row0002_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,2,16.56,48.855,7.84,3.92,N
Xw0_row0002_sel_buf0,Xw0_row0002_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,2,24.4,48.855,2.24,3.92,N
Xw0_row0002_sel_buf1,Xw0_row0002_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,2,26.64,48.855,2.24,3.92,N
Xw0_row0002_sel_buf2,Xw0_row0002_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,2,28.88,48.855,2.24,3.92,N
Xw0_row0003_sel_nand4,Xw0_row0003_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,3,16.56,53.185,7.84,3.92,N
Xw0_row0003_sel_buf0,Xw0_row0003_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,3,24.4,53.185,2.24,3.92,N
Xw0_row0003_sel_buf1,Xw0_row0003_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,3,26.64,53.185,2.24,3.92,N
Xw0_row0003_sel_buf2,Xw0_row0003_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,3,28.88,53.185,2.24,3.92,N
Xw0_row0004_sel_nand4,Xw0_row0004_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,4,16.56,57.51,7.84,3.92,N
Xw0_row0004_sel_buf0,Xw0_row0004_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,4,24.4,57.51,2.24,3.92,N
Xw0_row0004_sel_buf1,Xw0_row0004_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,4,26.64,57.51,2.24,3.92,N
Xw0_row0004_sel_buf2,Xw0_row0004_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,4,28.88,57.51,2.24,3.92,N
Xw0_row0005_sel_nand4,Xw0_row0005_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,5,16.56,61.84,7.84,3.92,N
Xw0_row0005_sel_buf0,Xw0_row0005_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,5,24.4,61.84,2.24,3.92,N
Xw0_row0005_sel_buf1,Xw0_row0005_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,5,26.64,61.84,2.24,3.92,N
Xw0_row0005_sel_buf2,Xw0_row0005_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,5,28.88,61.84,2.24,3.92,N
Xw0_row0006_sel_nand4,Xw0_row0006_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,6,16.56,66.165,7.84,3.92,N
Xw0_row0006_sel_buf0,Xw0_row0006_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,6,24.4,66.165,2.24,3.92,N
